aero_motif_idx,eeg_motif_idx,spectral_dist,dtw_dist,wasserstein_dist
8,2,0.0,0.10480743735499887,0.010475378273011413
8,3,0.0,0.0,3.0214944519824092e-06
8,4,0.0,0.0,4.533495318026493e-06
8,5,0.0,0.0,3.9857734079107305e-06
8,6,0.0,0.0,2.962080091872821e-06
8,7,0.0,0.0,5.5439138739732385e-06
8,8,0.0,0.0,6.600547168622572e-06
8,9,0.0,0.0,3.6026594933846743e-06
8,10,0.0,0.0,2.6101268941092217e-06
8,11,0.0,0.0,4.025835764931429e-06
8,12,0.0,0.0,4.443596404934969e-06
8,13,0.0,0.0,2.98173282967662e-06
8,14,0.0,0.0,5.723715862926414e-06
8,15,0.0,0.0,4.502071319278933e-06
8,16,0.0,0.0,3.832850093499207e-06
8,17,0.0,0.0,5.285233379637157e-06
8,18,0.0,0.0,2.7262662413374273e-06
9,0,0.40216567008953835,2.6794710600388987,0.267944675241669
9,1,0.07471196387777704,0.6544006378818866,0.06543213356733507
9,2,0.0,0.10480743735499887,0.010481068411319173
9,3,0.0,0.0,5.357954777140961e-06
9,4,0.0,0.0,4.17456130779037e-06
9,5,0.0,0.0,5.249075660362923e-06
9,6,0.0,0.0,3.818122564858139e-06
9,7,0.0,0.0,4.095030084227958e-06
9,8,0.0,0.0,4.54695080701617e-06
9,9,0.0,0.0,3.2169380653757074e-06
9,10,0.0,0.0,3.2764744535285217e-06
9,11,0.0,0.0,3.734289269385904e-06
9,12,0.0,0.0,2.9900990783815466e-06
9,13,0.0,0.0,2.09709576217687e-06
9,14,0.0,0.0,4.667055566043298e-06
9,15,0.0,0.0,9.771235141142755e-06
9,16,0.0,0.0,3.0241328447422335e-06
9,17,0.0,0.0,3.319761785625097e-06
9,18,0.0,0.0,3.975187650051559e-06
10,0,0.40216567008953835,2.6794710600388987,0.2679419595337378
10,1,0.07471196387777704,0.6544006378818866,0.0654354787905298
10,2,0.0,0.10480743735499887,0.010480521358694117
10,3,0.0,0.0,3.9200642999337456e-06
10,4,0.0,0.0,3.975305268433261e-06
10,5,0.0,0.0,4.073721517794393e-06
10,6,0.0,0.0,7.076538816985778e-06
10,7,0.0,0.0,4.312280379881184e-06
10,8,0.0,0.0,3.838853138404819e-06
10,9,0.0,0.0,4.650835518860142e-06
10,10,0.0,0.0,3.871849838432695e-06
10,11,0.0,0.0,3.823041053119258e-06
10,12,0.0,0.0,3.1373983925275795e-06
10,13,0.0,0.0,4.930320837803759e-06
10,14,0.0,0.0,5.110212723935525e-06
10,15,0.0,0.0,1.3233811346147206e-05
10,16,0.0,0.0,3.145876060262066e-06
10,17,0.0,0.0,3.832510530177303e-06
10,18,0.0,0.0,6.890730724562478e-06
11,0,0.40216567008953835,2.6794710600388987,0.26794892387394553
11,1,0.07471196387777704,0.6544006378818866,0.06543793797369934
11,2,0.0,0.10480743735499887,0.01047368744738445
